coral_ID,retension_time,pigment,peak_area,treatment_temp,surface_area,sym_number_sample,sym/cm2
DAHP,9.382,chla,849.25,NA,NA,NA,NA
DAHP,9.375,chla,880.62,NA,NA,NA,NA
DAHP,9.328,chla,714.31,NA,NA,NA,NA
LAHP,9.383,chla,806.55,NA,NA,NA,NA
LAHP,9.385,chla,830.69,NA,NA,NA,NA
LAHP,9.329,chla,602.7,NA,NA,NA,NA
MAA,9.377,chla,799.05,18,32.98077467,26666666.67,808551.859
MAAA,9.485,chla,114.16,32,54.920356,22666666.67,412718.859
MAAB,9.366,chla,498.84,32,32.24389733,2666666.667,82702.98839
MAB,9.347,chla,679.48,18,9.169417333,6666666.667,727054.558
MAC,9.364,chla,1317.61,18,55.517388,31333333.33,564387.7434
MAD,9.351,chla,466.27,18,7.808614667,8000000,1024509.512
MAE,9.377,chla,1270.44,18,31.13051333,30000000,963684.7192
MAF,9.372,chla,590.87,18,21.66943867,11333333.33,523010.01
MAG,9.373,chla,1192.75,18,30.45280133,32666666.67,1072698.249
MAH,9.34,chla,788.87,22,5.119281333,3333333.333,651133.0627
MAI,9.337,chla,1241.77,22,11.708148,12000000,1024927.256
MAJ,9.409,chla,1061.95,22,30.88847333,51333333.33,1661892.861
MAK,9.368,chla,1702.26,22,21.16922267,35333333.33,1669089.786
MAL,9.345,chla,1684.81,22,16.18319867,22666666.67,1400629.575
MAM,9.363,chla,1071.09,22,11.934052,15333333.33,1284838.824
MAN,9.364,chla,971.78,22,12.29442267,20000000,1626753.898
MAO,9.374,chla,1178.66,28,18.549812,24666666.67,1329752.92
MAP,9.337,chla,1066.11,28,18.2755,24000000,1313233.564
MAQ,9.385,chla,1592.41,28,24.842852,23333333.33,939237.3039
MAR,9.364,chla,590.97,28,20.87877467,9333333.333,447024.9563
MAS,9.382,chla,962.25,28,21.18535867,5333333.333,251746.1902
MAT,9.387,chla,1292.79,28,25.230116,4000000,158540.69
MAT01,9.296,chla,110.93,NA,5.312913333,6000000,1129323.899
MAU,9.383,chla,1074.98,28,59.793428,39333333.33,657820.3433
MAV,9.317,chla,638.92,32,40.89279333,666666.6667,16302.79109
MAX,9.376,chla,858.95,32,27.12878533,2666666.667,98296.57443
MAZ,9.314,chla,170.29,32,27.505292,666666.6667,24237.76002
NCA,9.401,chla,963.01,18,31.55004933,6666666.667,211304.4768
NCAA,9.41,chla,734.02,32,12.67092933,6666666.667,526138.7299
