date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
6/17/22,1,MAX,32,18,178,256,0.34,192,236,0.328,127,188,0.324,,,,,,,,,,,,
6/17/22,1,RIAA,32,18,137,185,0.259,283,452,0.373,340,426,0.201,,,,,,,,,,,,
6/17/22,1,NCV,32,18,261,825,0.683,353,826,0.572,247,745,0.668,,,,,,,,,,,,
6/17/22,1,NCX,32,18,280,694,0.596,232,564,0.588,197,514,0.616,,,,,,,,,,,,
6/17/22,1,RIV,32,18,288,490,0.412,123,321,0.616,232,431,0.461,,,,,,,,,,,,
6/17/22,1,MAV,32,18,60,102,0.411,77,123,0.373,61,110,0.445,,,,,,,,,,,,
6/17/22,1,RIZ,32,18,316,502,0.37,135,185,0.27,291,449,0.351,,,,,,,,,,,,
6/17/22,1,NCAB,32,18,243,565,0.569,74,153,0.516,108,212,0.49,,,,,,,,,,,,
6/17/22,1,MAY,32,18,242,445,0.456,68,120,0.433,119,284,0.58,,,,,,,,,,,,
6/17/22,1,NCZ,32,18,344,790,0.564,311,783,0.602,160,448,0.642,,,,,,,,,,,,
6/18/22,1,RIAB,32,18,308,442,0.303,229,273,0.161,403,695,0.42,,,,,,,,,,,,
6/18/22,1,MAZ,32,18,289,453,0.362,105,168,0.375,134,188,0.287,,,,,,,,,,,,
6/18/22,1,RIX,32,18,116,178,0.348,283,519,0.454,121,176,0.312,,,,,,,,,,,,
6/18/22,1,MAU,28,18,197,430,0.541,272,602,0.548,234,562,0.583,,,,,,,,,,,,
6/18/22,1,RIU,28,18,279,475,0.412,311,522,0.404,380,702,0.458,,,,,,,,,,,,
6/19/22,1,MAW,32,18,257,332,0.225,246,445,0.447,248,370,0.329,,,,,,,,,,,,
6/19/22,1,NCY,32,18,361,944,0.617,301,969,0.689,251,716,0.649,,,,,,,,,,,,
6/19/22,1,NCW,32,18,316,847,0.626,310,798,0.611,267,709,0.623,,,,,,,,,,,,
6/19/22,1,RIW,32,18,394,798,0.506,321,566,0.432,319,524,0.391,,,,,,,,,,,,
6/19/22,1,RIY,32,18,297,468,0.365,273,468,0.416,227,354,0.358,,,,,,,,,,,,
6/19/22,1,MAAA,32,18,160,209,0.234,185,285,0.35,125,189,0.338,,,,,,,,,,,,
6/19/22,1,NCAA,32,18,313,703,0.554,309,894,0.654,188,511,0.632,,,,,,,,,,,,
6/19/22,1,MAAB,32,18,186,254,0.267,98,125,0.216,177,305,0.419,,,,,,,,,,,,
6/19/22,1,RIR,28,18,485,722,0.328,421,633,0.334,143,241,0.406,,,,,,,,,,,,
6/19/22,1,MAO,28,18,248,377,0.342,192,386,0.502,145,276,0.474,,,,,,,,,,,,
6/20/22,1,MAR,28,18,346,686,0.496,139,285,0.512,241,391,0.383,,,,,,,,,,,,
6/20/22,1,NCQ,28,18,300,762,0.606,228,677,0.663,255,661,0.614,,,,,,,,,,,,
6/20/22,1,NCU,28,18,230,613,0.624,277,739,0.625,180,505,0.643,,,,,,,,,,,,
6/20/22,1,MAP,28,18,200,434,0.539,65,129,0.496,81,224,0.638,,,,,,,,,,,,
6/20/22,1,NCR,28,18,239,558,0.571,265,724,0.633,265,805,0.67,,,,,,,,,,,,
6/20/22,1,RIS,28,18,303,430,0.295,300,509,0.41,191,305,0.373,,,,,,,,,,,,
6/20/22,1,RIT,28,18,561,932,0.398,351,559,0.372,325,524,0.379,,,,,,,,,,,,
6/20/22,1,RIP,28,18,364,544,0.33,430,755,0.43,192,366,0.475,,,,,,,,,,,,
6/20/22,1,RIQ,28,18,267,400,0.332,214,359,0.403,181,338,0.464,,,,,,,,,,,,
6/20/22,1,RIO,28,18,250,387,0.354,206,260,0.207,274,463,0.408,,,,,,,,,,,,
6/20/22,1,MAQ,28,18,106,212,0.5,93,136,0.316,108,217,0.502,,,,,,,,,,,,
6/20/22,1,NCS,28,18,294,775,0.62,239,727,0.671,229,678,0.662,,,,,,,,,,,,
6/20/22,1,NCO,28,18,285,695,0.589,227,628,0.638,315,849,0.628,,,,,,,,,,,,
6/20/22,1,NCP,28,18,282,735,0.616,168,486,0.654,262,785,0.666,,,,,,,,,,,,
6/20/22,1,MAT,28,18,181,406,0.554,213,425,0.498,194,412,0.529,,,,,,,,,,,,
6/21/22,1,NCJ,22,18,509,1054,0.517,273,755,0.638,419,1089,0.615,,,,,,,,,,,,
6/21/22,1,RIN,22,18,101,144,0.298,180,302,0.403,224,279,0.197,,,,,,,,,,,,
6/21/22,1,RIM,22,18,261,422,0.381,292,445,0.343,424,605,0.299,,,,,,,,,,,,
6/21/22,1,MAK,22,18,137,198,0.308,188,384,0.51,171,305,0.439,,,,,,,,,,,,
6/21/22,1,MAI,22,18,54,75,0.28,118,241,0.51,178,292,0.39,,,,,,,,,,,,
6/21/22,1,NCT,28,18,213,516,0.587,154,402,0.616,191,519,0.631,,,,,,,,,,,,
6/21/22,1,MAS,28,18,175,344,0.491,141,255,0.447,104,199,0.477,,,,,,,,,,,,
6/21/22,1,RIK,22,18,302,428,0.294,178,434,0.589,320,459,0.302,,,,,,,,,,,,
6/21/22,1,NCL,22,18,262,538,0.513,281,704,0.6,363,867,0.581,,,,,,,,,,,,
6/21/22,1,MAH,22,18,48,72,0.333,92,170,0.458,154,301,0.488,,,,,,,,,,,,
6/21/22,1,RIJ,22,18,513,629,0.184,316,489,0.353,304,656,0.536,,,,,,,,,,,,
6/21/22,1,MAM,22,18,226,657,0.656,24,46,0.478,141,218,0.353,,,,,,,,,,,,
6/21/22,1,MAL,22,18,220,400,0.45,112,161,0.304,161,266,0.394,,,,,,,,,,,,
6/21/22,1,NCI,22,18,325,670,0.514,228,608,0.625,309,812,0.619,,,,,,,,,,,,
6/21/22,1,RII,22,18,417,591,0.294,289,443,0.347,170,237,0.282,,,,,,,,,,,,
6/23/22,1,MAJ,22,18,162,207,0.217,130,191,0.319,191,370,0.483,,,,,,,,,,,,
