date,position,par,treatment,,,,,,,
6/28/22,c1_r1,100,18_32,,,,,,,
7/1/22,c1_r1,93,18_32,,,,,,,
7/5/22,c1_r1,90,18_32,,,,,,,
7/10/22,c1_r1,103,18_32,,,,,,,
7/18/22,c1_r1,87,18_32,,,,,,,
7/25/22,c1_r1,92,18_32,,,,,,,
7/28/22,c1_r1,97,18_32,,,,,,,
8/1/22,c1_r1,95,18_32,,,,,,,
8/5/22,c1_r1,91,18_32,,,,,,,
6/28/22,c1_r2,138,18_32,,,,,,,
7/1/22,c1_r2,133,18_32,,,,,,,
7/5/22,c1_r2,124,18_32,,,,,,,
7/10/22,c1_r2,130,18_32,,,,,,,
7/18/22,c1_r2,127,18_32,,,,,,,
7/25/22,c1_r2,136,18_32,,,,,,,
7/28/22,c1_r2,137,18_32,,,,,,,
8/1/22,c1_r2,130,18_32,,,,,,,
8/5/22,c1_r2,120,18_32,,,,,,,
6/28/22,c1_r3,139,18_32,,,,,,,
7/1/22,c1_r3,121,18_32,,,,,,,
7/5/22,c1_r3,127,18_32,,,,,,,
7/10/22,c1_r3,140,18_32,,,,,,,
7/18/22,c1_r3,127,18_32,,,,,,,
7/25/22,c1_r3,128,18_32,,,,,,,
7/28/22,c1_r3,138,18_32,,,,,,,
8/1/22,c1_r3,115,18_32,,,,,,,
8/5/22,c1_r3,114,18_32,,,,,,,
6/28/22,c1_r4,114,18_32,,,,,,,
7/1/22,c1_r4,110,18_32,,,,,,,
7/5/22,c1_r4,112,18_32,,,,,,,
7/10/22,c1_r4,116,18_32,,,,,,,
7/18/22,c1_r4,112,18_32,,,,,,,
7/25/22,c1_r4,111,18_32,,,,,,,
7/28/22,c1_r4,117,18_32,,,,,,,
8/1/22,c1_r4,117,18_32,,,,,,,
8/5/22,c1_r4,112,18_32,,,,,,,
6/28/22,c2_r1,130,18_32,,,,,,,
7/1/22,c2_r1,106,18_32,,,,,,,
7/5/22,c2_r1,133,18_32,,,,,,,
7/10/22,c2_r1,139,18_32,,,,,,,
7/18/22,c2_r1,164,18_32,,,,,,,
7/25/22,c2_r1,130,18_32,,,,,,,
7/28/22,c2_r1,128,18_32,,,,,,,
8/1/22,c2_r1,107,18_32,,,,,,,
8/5/22,c2_r1,122,18_32,,,,,,,
6/28/22,c2_r2,175,18_32,,,,,,,
7/1/22,c2_r2,183,18_32,,,,,,,
7/5/22,c2_r2,160,18_32,,,,,,,
7/10/22,c2_r2,161,18_32,,,,,,,
7/18/22,c2_r2,184,18_32,,,,,,,
7/25/22,c2_r2,167,18_32,,,,,,,
7/28/22,c2_r2,171,18_32,,,,,,,
8/1/22,c2_r2,189,18_32,,,,,,,
8/5/22,c2_r2,167,18_32,,,,,,,
6/28/22,c2_r3,148,18_32,,,,,,,
7/1/22,c2_r3,138,18_32,,,,,,,
7/5/22,c2_r3,172,18_32,,,,,,,
7/10/22,c2_r3,172,18_32,,,,,,,
7/18/22,c2_r3,143,18_32,,,,,,,
7/25/22,c2_r3,186,18_32,,,,,,,
7/28/22,c2_r3,182,18_32,,,,,,,
8/1/22,c2_r3,175,18_32,,,,,,,
8/5/22,c2_r3,162,18_32,,,,,,,
6/28/22,c2_r4,132,18_32,,,,,,,
7/1/22,c2_r4,109,18_32,,,,,,,
7/5/22,c2_r4,119,18_32,,,,,,,
7/10/22,c2_r4,116,18_32,,,,,,,
7/18/22,c2_r4,128,18_32,,,,,,,
7/25/22,c2_r4,126,18_32,,,,,,,
7/28/22,c2_r4,117,18_32,,,,,,,
8/1/22,c2_r4,108,18_32,,,,,,,
8/5/22,c2_r4,134,18_32,,,,,,,
6/28/22,c3_r1,145,18_32,,,,,,,
7/1/22,c3_r1,157,18_32,,,,,,,
7/5/22,c3_r1,150,18_32,,,,,,,
7/10/22,c3_r1,147,18_32,,,,,,,
7/18/22,c3_r1,153,18_32,,,,,,,
7/25/22,c3_r1,149,18_32,,,,,,,
7/28/22,c3_r1,142,18_32,,,,,,,
8/1/22,c3_r1,165,18_32,,,,,,,
8/5/22,c3_r1,170,18_32,,,,,,,
6/28/22,c3_r2,200,18_32,,,,,,,
7/1/22,c3_r2,189,18_32,,,,,,,
7/5/22,c3_r2,174,18_32,,,,,,,
7/10/22,c3_r2,169,18_32,,,,,,,
7/18/22,c3_r2,178,18_32,,,,,,,
7/25/22,c3_r2,210,18_32,,,,,,,
7/28/22,c3_r2,213,18_32,,,,,,,
8/1/22,c3_r2,178,18_32,,,,,,,
8/5/22,c3_r2,198,18_32,,,,,,,
6/28/22,c3_r3,192,18_32,,,,,,,
7/1/22,c3_r3,174,18_32,,,,,,,
7/5/22,c3_r3,159,18_32,,,,,,,
7/10/22,c3_r3,154,18_32,,,,,,,
7/18/22,c3_r3,186,18_32,,,,,,,
7/25/22,c3_r3,194,18_32,,,,,,,
7/28/22,c3_r3,200,18_32,,,,,,,
8/1/22,c3_r3,176,18_32,,,,,,,
8/5/22,c3_r3,183,18_32,,,,,,,
6/28/22,c3_r4,130,18_32,,,,,,,
7/1/22,c3_r4,92,18_32,,,,,,,
7/5/22,c3_r4,118,18_32,,,,,,,
7/10/22,c3_r4,98,18_32,,,,,,,
7/18/22,c3_r4,103,18_32,,,,,,,
7/25/22,c3_r4,105,18_32,,,,,,,
7/28/22,c3_r4,97,18_32,,,,,,,
8/1/22,c3_r4,92,18_32,,,,,,,
8/5/22,c3_r4,106,18_32,,,,,,,
6/28/22,c4_r1,129,18_32,,,,,,,
7/1/22,c4_r1,142,18_32,,,,,,,
7/5/22,c4_r1,130,18_32,,,,,,,
7/10/22,c4_r1,127,18_32,,,,,,,
7/18/22,c4_r1,138,18_32,,,,,,,
7/25/22,c4_r1,145,18_32,,,,,,,
7/28/22,c4_r1,130,18_32,,,,,,,
8/1/22,c4_r1,116,18_32,,,,,,,
8/5/22,c4_r1,123,18_32,,,,,,,
