coral_ID,treatment_temp,foil_mass_1,foil_mass_2,foil_mass_3,avg_foil_mass,surface_area,sym_count_1,sym_count_2,sym_count_3,mean_sym,hemo_vol_ul,total_solution_volume_ul,total_sym_number,sym/cm2
RI_T0_1,NA,0.189,0.188,0.1854,0.187466667,30.77552133,19,9,8,12,0.00025,500,24000000,779840.5668
RI_T0_2,NA,0.1609,0.1576,0.1558,0.1581,26.036916,3,4,3,3.333333333,0.00025,500,6666666.667,256046.7095
RI_T0_3,NA,0.076,0.0705,0.0689,0.0718,12.111548,2,3,4,3,0.00025,500,6000000,495394.9735
RI_T0_4,NA,0.317,0.301,0.2937,0.3039,49.563204,8,13,16,12.33333333,0.00025,500,24666666.67,497681.035
RI_T0_5,NA,0.0863,0.0857,0.0853,0.085766667,14.36520933,1,3,1,1.666666667,0.00025,500,3333333.333,232042.0995
RI_T0_6,NA,0.1908,0.1865,0.1828,0.1867,30.651812,1,4,3,2.666666667,0.00025,500,5333333.333,173997.3263
RI_T0_7,NA,0.1552,0.1525,0.1513,0.153,25.21398,3,5,6,4.666666667,0.00025,500,9333333.333,370165.0169
RI_T0_8,NA,0.1437,0.1394,0.1375,0.1402,23.148572,8,16,12,12,0.00025,500,24000000,1036781.016
RI_T0_9,NA,0.1408,0.1388,0.1377,0.1391,22.971076,22,14,16,17.33333333,0.00025,500,34666666.67,1509144.224
RI_T0_10,NA,0.2004,0.1992,0.1977,0.1991,32.652676,4,8,9,7,0.00025,500,14000000,428755.0582
RI_T0_11,NA,0.1521,0.1508,0.1481,0.150333333,24.78368667,16,18,3,12.33333333,0.00025,500,24666666.67,995278.3457
RI_T0_12,NA,0.0742,0.0728,0.0717,0.0729,12.289044,16,32,7,18.33333333,0.00025,500,36666666.67,2983687.475
NC_T0_1,NA,0.0511,0.0512,0.0509,0.051066667,8.766017333,20,16,11,15.66666667,0.00025,500,31333333.33,3574409.238
NC_T0_2,NA,0.054,0.0525,0.0517,0.052733333,9.034950667,4,6,8,6,0.00025,500,12000000,1328175.487
NC_T0_3,NA,0.0525,0.05,0.0491,0.050533333,8.679958667,5,4,4,4.333333333,0.00025,500,8666666.667,998468.6563
NC_T0_4,NA,0.059,0.048,0.0471,0.051366667,8.814425333,8,9,7,8,0.00025,500,16000000,1815206.255
NC_T0_5,NA,0.037,0.0363,0.0358,0.036366667,6.394025333,3,9,1,4.333333333,0.00025,500,8666666.667,1355432.019
NC_T0_6,NA,0.0668,0.0648,0.0607,0.0641,10.869076,25,8,1,11.33333333,0.00025,500,22666666.67,2085427.194
NC_T0_7,NA,0.069,0.066,0.064,0.066333333,11.22944667,1,4,3,2.666666667,0.00025,500,5333333.333,474941.7751
NC_T0_8,NA,0.0506,0.0495,0.0478,0.0493,8.480948,2,4,5,3.666666667,0.00025,500,7333333.333,864683.2092
NC_T0_9,NA,0.0232,0.0209,0.0218,0.021966667,4.070441333,1,3,1,1.666666667,0.00025,500,3333333.333,818912.0197
NC_T0_10,NA,0.0352,0.0335,0.0324,0.0337,5.963732,5,3,1,3,0.00025,500,6000000,1006081.427
NC_T0_11,NA,0.037,0.0362,0.037,0.036733333,6.453190667,4,1,1,2,0.00025,500,4000000,619848.414
MA_T0_1,NA,0.0299,0.0298,0.0293,0.029666667,5.312913333,5,3,1,3,0.00025,500,6000000,1129323.899
RIC,18,0.02366,0.0234,0.02313,0.023396667,4.301186133,14,11,10,11.66666667,0.00025,500,23333333.33,5424860.169
RIA,18,0.02129,0.02127,0.02089,0.02115,3.938664,15,7,9,10.33333333,0.00025,500,20666666.67,5247126.098
